"able","capable-apt",A2,6
"abnormal","anormal-inhabituel",B1,4
"absent","absent-manquant",A1,5
"absolute","absolu-total",B2,5
"abstract","abstrait-conceptuel",C1,3
"academic","académique-scolaire",B2,4
"acceptable","acceptable-admissible",A2,7
"accessible","accessible-abordable",B1,6
"accurate","précis-exact",B1,7
"active","actif-vivant",A1,8
"actual","réel-actuel",B2,4
"acute","aigu-intense",C1,2
"additional","supplémentaire-additionnel",A2,7
"adequate","adéquat-suffisant",B1,6
"adjacent","adjacent-voisin",C1,3
"administrative","administratif-bureaucratique",B2,5
"adorable","adorable-charmant",A2,6
"advanced","avancé-sophistiqué",B1,5
"adventurous","aventureux-intrépide",B2,4
"adverse","adverse-défavorable",C1,3
"advisable","conseillé-prudent",B2,4
"aesthetic","esthétique-artistique",C1,3
"affectionate","affectueux-tendre",B2,5
"affordable","abordable-économique",A2,7
"aggressive","agressif-violent",A2,6
"agile","agile-souple",B2,4
"agitated","agité-troublé",B2,4
"agreeable","agréable-plaisant",A1,8
"alarming","alarmant-inquiétant",B1,5
"alien","étranger-alien",B2,4
"alive","vivant-en vie",A1,8
"alluring","séduisant-attrayant",B2,5
"amazing","incroyable-étonnant",A2,7
"ambitious","ambitieux-aspirant",B1,6
"amiable","aimable-agréable",B1,6
"ample","ample-abondant",C1,3
"amused","amusé-diverti",B2,5
"amusing","amusant-drôle",A2,7
"ancient","ancien-vieux",A2,6
"angry","fâché-en colère",A1,8
"animated","animé-vivant",B2,5
"anxious","anxieux-inquiet",B1,6
"apparent","apparent-évident",B2,5
"appetizing","appétissant-alléchant",B1,6
"applicable","applicable-pertinent",C1,3
"appreciable","appréciable-considérable",C1,3
"appreciative","reconnaissant-appréciatif",B2,4
"appropriate","approprié-convenable",A2,7
"apt","apt-compétent",B2,5
"arbitrary","arbitraire-capricieux",C1,3
"archaic","archaïque-ancien",C2,2
"ardent","ardent-passionné",C1,3
"aromatic","aromatique-parfumé",B2,4
"artistic","artistique-créatif",A2,7
"ashamed","honteux-embarrassé",B1,6
"aspiring","aspirant-ambitieux",B2,5
"assertive","assertif-affirmé",C1,3
"astonishing","étonnant-stupéfiant",B1,6
"athletic","athlétique-sportif",A2,7
"attractive","attrayant-séduisant",A1,8
"audible","audible-clair",B2,5
"auspicious","favorable-prometteur",C2,2
"authentic","authentique-réel",B1,6
"automatic","automatique-involontaire",A2,7
"available","disponible-accessible",A1,8
"average","moyen-ordinaire",A2,7
"awesome","génial-impressionnant",A2,7
"awkward","maladroit-embarrassant",B1,6
"axiomatic","axiomatique-évident",C2,2
