"bald","chauve - dégarni","A2",4
"beautiful","beau - belle","A1",10
"benevolent","bienveillant - généreux","B2",6
"bitter","amer - acerbe","B1",5
"bizarre","bizarre - étrange","A2",7
"bland","fade - insipide","B2",3
"blissful","heureux - béat","C1",2
"bloody","sanglant - ensanglanté","B1",4
"blue","bleu - triste","A1",9
"blunt","épointé - direct","B2",5
"blurry","flou - brouillé","B1",6
"boiling","bouillant - très chaud","B1",5
"bold","audacieux - hardi","B2",6
"bony","osseux - maigre","B2",3
"boring","ennuyeux - barbant","A2",8
"bossy","autoritaire - dominateur","B1",5
"bouncy","rebondissant - élastique","B2",3
"boundless","illimité - sans fin","C1",2
"bountiful","abondant - généreux","C1",3
"brash","effronté - arrogant","B2",4
"brassy","cuivré - effronté","C2",1
"bratty","insupportable - gâté","C1",2
"brave","courageux - brave","A2",8
"brawny","musclé - robuste","B2",4
"brazen","effronté - audacieux","C1",3
"breakable","fragile - cassable","B1",6
"breezy","venté - insouciant","B2",4
"brief","bref - court","A2",7
"bright","brillant - lumineux","A1",9
"brilliant","brillant - génial","A2",8
"brittle","fragile - cassant","B2",4
"broad","large - vaste","A2",7
"broken","cassé - brisé","A1",8
"brooding","sombre - pensif","C1",2
"bruised","meurtri - blessé","B2",4
"brusque","brusque - abrupt","B2",5
"brutal","brutal - violent","B1",6
"bubbly","pétillant - joyeux","B2",5
"buggy","buggy - bogue","C2",1
"bulky","encombrant - volumineux","B2",4
"bumpy","bosselé - cahoteux","B2",3
"burly","costaud - robuste","B2",3
"burnt","brûlé - calciné","B1",5
"bushy","broussailleux - touffu","B2",3
"busty","plantureuse - pulpeuse","C1",2
"busy","occupé - actif","A1",10
