"damaged";"endommagé - abîmé";"A2";3
"damp";"humide - mouillé";"B1";2
"dangerous";"dangereux - risqué";"A2";5
"dapper";"élégant - soigné";"B2";1
"daring";"audacieux - téméraire";"B1";4
"dark";"sombre - foncé";"A1";7
"dazzling";"éblouissant - étincelant";"B2";3
"dead";"mort - décédé";"A1";6
"deafening";"assourdissant - bruyant";"B2";2
"dear";"cher - précieux";"A2";6
"decent";"décent - convenable";"B1";5
"deceptive";"trompeur - déceptif";"B2";3
"decisive";"décisif - déterminant";"B1";6
"deep";"profond - intense";"A2";7
"defiant";"défiant - provocateur";"B2";2
"delicate";"délicat - fragile";"A2";5
"delicious";"délicieux - savoureux";"A1";8
"delightful";"délicieux - charmant";"B1";4
"demanding";"exigeant - difficile";"B1";5
"demure";"modeste - réservé";"B2";1
"dense";"dense - épais";"B1";3
"deranged";"dérangé - fou";"B2";1
"descriptive";"descriptif - explicatif";"B2";3
"deserted";"déserté - abandonné";"B1";2
"desperate";"désespéré - urgent";"A2";6
"detailed";"détaillé - précis";"B1";7
"determined";"déterminé - résolu";"A2";8
"devastating";"dévastateur - destructeur";"B2";2
"devoted";"dévoué - fidèle";"B1";4
"devout";"dévot - pieux";"B2";1
"difficult";"difficile - compliqué";"A1";10
"diligent";"diligent - assidu";"B2";3
"diplomatic";"diplomatique - tactique";"B1";4
"direct";"direct - franc";"A2";9
"disastrous";"désastreux - catastrophique";"B2";2
"discreet";"discret - prudent";"B1";5
"disgusted";"dégoûté - répugné";"B1";3
"dismal";"lugubre - sombre";"B2";1
"distant";"distant - éloigné";"A2";7
"diverse";"divers - varié";"B1";6
"dominant";"dominant - prédominant";"B1";5
"doubtful";"douteux - incertain";"B1";4
"dramatic";"dramatique - théâtral";"A2";8
"dreadful";"affreux - terrible";"B1";3
"dull";"ennuyeux - terne";"A2";6
"durable";"durable - résistant";"B1";5
"dusty";"poussiéreux - sale";"B2";2
"dynamic";"dynamique - actif";"A2";9
