early;précoce-tôt;A1;7
earnest;sérieux-ardent;B2;4
easy;facile;A1;10
ecstatic;extatique;C1;3
edgy;nerveux-tendu;B2;5
educational;éducatif;B1;6
effective;efficace;B1;8
efficient;efficient;B2;7
elaborate;élaboré-complexe;C1;4
elastic;élastique;B1;5
electric;électrique;A2;6
electronic;électronique;A2;7
elegant;élégant;A2;8
emotional;émotionnel;B1;7
empty;vide;A1;8
enchanted;enchanté;B2;4
endearing;attachant;C1;3
endless;infini-sans fin;B1;5
energetic;énergique;A2;7
enjoyable;agréable;A2;8
enlightened;éclairé;C1;3
enormous;énorme;A2;7
enthusiastic;enthousiaste;B1;8
entire;entier;A2;7
enviable;enviable;B2;4
equal;égal;A2;8
equatorial;équatorial;B2;3
essential;essentiel;A2;9
esteemed;estimé;C1;4
eternal;éternel;B1;5
ethical;éthique;B2;6
euphoric;euphorique;C1;3
even;même-égal;A2;8
evergreen;toujours vert;B2;4
everyday;quotidien;A2;9
evident;évident;B1;7
exalted;exalté;C2;2
excellent;excellent;A2;10
exceptional;exceptionnel;B2;6
excitable;excitable;B2;4
exciting;excitant;A2;8
exclusive;exclusif;B2;6
exemplary;exemplaire;C1;4
exhaustive;exhaustif;C2;3
exotic;exotique;B1;5
expansive;expansif;C1;3
expensive;cher;A1;9
expressive;expressif;B1;6
extra;extra-supplémentaire;B1;7
extraordinary;extraordinaire;B1;6
extravagant;extravagant;B2;5
extroverted;extraverti;B2;4
exuberant;exubérant;C1;3
eye-catching;accrocheur;C1;4
