"fancy";"fantaisie - chic";"B2";7
"fantastic";"fantastique";"A2";8
"fast";"rapide";"A1";9
"fat";"gras - gros";"A1";6
"faulty";"défectueux";"B2";3
"fearful";"craintif - peureux";"B1";4
"fearless";"intrépide";"B2";5
"feisty";"combatif - fougueux";"C1";2
"feminine";"féminin";"A2";7
"fertile";"fertile";"B1";3
"festive";"festif";"B1";6
"fickle";"capricieux";"C1";2
"fierce";"féroce";"B2";4
"fiery";"ardent - enflammé";"C1";3
"filthy";"crasseux";"B2";3
"fine";"fin - beau";"A2";8
"firm";"ferme";"B1";7
"first";"premier";"A1";10
"fit";"en forme - apte";"A2";8
"flaky";"friable - instable";"C1";2
"flashy";"voyant - tape-à-l'oeil";"B2";4
"flat";"plat";"A2";7
"flawed";"défectueux";"B2";3
"flawless";"parfait - sans défaut";"B2";5
"fleeting";"éphémère";"C1";3
"flexible";"flexible";"B1";6
"flimsy";"fragile - mince";"B2";3
"flippant";"désinvolte";"C1";2
"floral";"floral";"B1";5
"flourishing";"florissant";"B2";4
"fluffy";"duveteux - moelleux";"B2";3
"fluid";"fluide";"B1";6
"foamy";"mousseux";"B2";3
"focused";"concentré";"B1";7
"fond";"affectionné";"B2";4
"foolish";"stupide";"B1";5
"forceful";"énergique";"B2";5
"formal";"formel";"A2";8
"formidable";"redoutable - formidable";"B2";4
"forthright";"franc - direct";"C1";3
"fortunate";"chanceux";"B1";6
"fragile";"fragile";"A2";7
"frail";"fragile - frêle";"B2";3
"frank";"franc";"B1";6
"frantic";"frénétique";"B2";4
"free";"libre";"A1";9
"frequent";"fréquent";"A2";8
"fresh";"frais";"A1";9
"friendly";"amical";"A1";10
"frightened";"effrayé";"A2";7
"frivolous";"frivole";"B2";3
"frosty";"glacial - givré";"B2";3
"frugal";"frugal";"B2";4
"fruitful";"fructueux";"B1";5
"frustrated";"frustré";"B1";6
"full";"plein";"A1";10
"funny";"drôle";"A1";9
"furry";"pelucheux";"B2";3
"futuristic";"futuriste";"B2";4
