gargantuan;gargantuesque;B2;4
garrulous;bavard-volubile;B1;3
gaseous;gazeux;A2;5
gaudy;criard-ostentatoire;B1;3
gawky;maladroit-gauche;B1;4
genteel;distingué-raffiné;C1;2
genuine;véritable-authentique;A2;7
geriatric;gériatrique;B2;3
ghastly;effroyable-horrible;B2;3
giant;géant;A1;8
giddy;étourdi-vertigineux;B2;3
gigantic;gigantesque;A2;6
girlish;fille-féminin;A2;6
glacial;glacial;A2;6
glamorous;glamour;A1;7
glib;facile-éloquent;C1;2
glistening;brillant-luisant;B1;4
glittering;scintillant-brillant;B1;5
global;global;A1;9
gloomy;sombre-morose;B1;5
glorious;glorieux;A2;6
glossy;brillant-lustré;B1;5
gloved;ganté;C1;1
gluttonous;glouton;B1;4
gnarled;tordu-noueux;C2;1
godlike;divin;C1;2
golden;doré;A1;8
good;bon;A1;10
goofy;bête-débile;B1;4
gorgeous;magnifique-splendide;A2;7
graceful;gracieux-élégant;B1;5
graceless;maladroit;B2;3
gracious;gracieux-courtois;B2;4
grandiose;grandiose;B2;3
grateful;reconnaissant;A2;7
great;grand;A1;10
greedy;avide-gourmand;A2;6
grim;sombre-sévère;B2;4
gritty;granuleux-courageux;C1;2
grouchy;grincheux;B2;3
grubby;crasseux;B2;3
gruesome;horrible;B2;3
grumpy;grognon;B1;5
guilty;coupable;A2;7
gullible;crédule;B2;4
gusty;venteux;C1;2
guttural;guttural;C1;2
