habitual;habituel-régulier;B1;5
hairy;poilu-chevelu;A2;3
half;demi-moitié;A1;9
handsome;beau-attrayant;A2;7
handy;pratique-utile;B2;6
happy;heureux-content;A1;10
hard;dur-difficile;A1;8
harmful;nocif-dangereux;B2;4
harmonious;harmonieux-agréable;C1;3
harsh;rude-sévère;B1;6
hasty;hâtif-précipité;B2;5
haunting;obsédant-hantant;C1;2
heady;enivrant-capiteux;C2;1
healthy;sain-en bonne santé;A2;8
hearty;chaleureux-copieux;B2;4
heavenly;céleste-divin;C1;2
heavy;lourd-pesant;A2;7
hectic;effréné-agité;C1;3
hefty;costaud-robuste;C2;1
hellish;infernal-démoniaque;C2;1
helpful;utile-serviable;A2;8
helpless;impuissant-désemparé;B1;5
heroic;héroïque-courageux;B2;4
hesitant;hésitant-indécis;B1;6
hidden;caché-secret;A2;7
hideous;hideux-répugnant;B2;3
high;haut-élevé;A1;9
high-pitched;aigu-perçant;B2;4
hilarious;hilarant-très drôle;B1;6
historical;historique-ancien;B1;7
hollow;creux-vides;B2;4
holy;saint-sacré;B1;5
homely;simple-confortable;B2;4
honest;honnête-sincère;A2;8
honorable;honorable-respectable;B1;6
hopeful;optimiste-plein d'espoir;B1;7
horrible;horrible-terrible;A2;8
hospitable;hospitalier-accueillant;B2;4
hostile;hostile-antagoniste;B1;6
hot;chaud-brûlant;A1;10
hot-headed;colérique-impulsif;B2;3
huge;énorme-immense;A2;7
human;humain;A1;9
humble;humble-modeste;B1;6
humorous;humoristique-drôle;B1;7
hungry;affamé-hungry;A1;8
hurried;pressé-hâtif;B2;5
hurt;blessé-mal;A2;7
hushed;silencieux-calmes;B2;4
hypnotic;hypnotique-captivant;C1;2
hypocritical;hypocrite-faux;B2;4
hypothetical;hypothétique-supposé;C1;3
hysterical;hystérique-fou;B2;5
