"jacobean";"jacobéen";"C2";1
"jacobin";"jacobin";"C2";2
"jacobinic";"jacobinique";"C2";1
"jacobinical";"jacobinique";"C2";1
"jacobite";"jacobite";"C2";1
"jacobitic";"jacobitique";"C2";1
"jacobitical";"jacobitique";"C2";1
"jade-green";"vert-jade";"B2";3
"jade-like";"comme-jade";"B2";2
"jaded";"épuisé";"B1";6
"jadeite";"jadeite";"C2";1
"jagged";"dentelé";"B2";4
"jain";"jain";"C2";1
"jainist";"jainiste";"C2";1
"jamaican";"jamaïcain";"A2";7
"japanese";"japonais";"A1";10
"jarring";"discordant";"B2";5
"jaunty";"joyeux";"B1";6
"jazzy";"jazzy";"B2";5
"jealous";"jaloux";"A2";8
"jewel-like";"comme-un-joyau";"B2";3
"jeweled";"bijouté";"B2";4
"jewish";"juif";"A2";8
"jingoist";"chauvin";"C1";2
"jingoistic";"chauviniste";"C1";3
"jittery";"nerveux";"B1";6
"jocular";"jovial";"B2";5
"jordanian";"jordanien";"B1";6
"jovial";"jovial";"B1";7
"jovian";"jovien";"C2";1
"joyful";"joyeux";"A2";9
"jubilant";"jubilant";"B2";5
"jubilee";"jubilé";"B2";4
"judgmental";"critique";"B2";6
"judicious";"judicieux";"B2";5
"juicy";"juteux";"A2";8
"jumbled";"mélangé";"B1";6
"jumbo";"jumbo";"B1";6
"jumpy";"nerveux";"B1";6
"junior";"junior";"A2";9
"just";"juste";"A1";10
