"kaleidoscopic";"kaleidoscopique";"C2";"1"
"kaleidoscopical";"kaleidoscopique";"C2";"1"
"karyokinetic";"caryocinétique";"C2";"1"
"karyotypic";"caryotypique";"C2";"1"
"karyotypical";"caryotypique";"C2";"1"
"keen";"vif - intense";"B2";"7"
"kempt";"soigné";"C1";"2"
"keramic";"céramique";"B2";"3"
"keratinous";"kératinique";"C2";"1"
"keratogenous";"kératogène";"C2";"1"
"keratoid";"kératoïde";"C2";"1"
"keratose";"kératose";"C2";"1"
"keratotic";"kératosique";"C2";"1"
"kerchiefed";"coiffé d'un foulard";"C2";"1"
"kerygmatic";"kérygmatique";"C2";"1"
"key";"clé - essentiel";"A2";"8"
"keyed";"accordé";"B2";"4"
"keyless";"sans clé";"B1";"3"
"khaki";"kaki";"A2";"6"
"kicking";"coup de pied";"B1";"5"
"kiddie";"enfantin";"B1";"4"
"kiddish";"puéril";"B2";"3"
"kinaesthetic";"kinesthésique";"C2";"1"
"kind";"gentil - aimable";"A1";"10"
"kindhearted";"bon - généreux";"B1";"6"
"kindless";"sans gentillesse";"C1";"2"
"kindly";"gentiment - aimable";"A2";"8"
"kindred";"apparenté";"B2";"4"
"kinematic";"cinématique";"C2";"1"
"kinesthetic";"kinesthésique";"C2";"1"
"kinetic";"cinétique";"B2";"3"
"king-size";"king-size";"B1";"5"
"king-sized";"king-size";"B1";"5"
"kinglike";"royal";"C1";"2"
"kingly";"royal";"C1";"2"
"kirtled";"vêtu d'une tunique";"C2";"1"
"kiss-proof";"résistant aux baisers";"C1";"2"
"kissable";"embrassable";"B2";"3"
"kitschy";"kitsch";"B2";"4"
"kitten-like";"comme un chaton";"B2";"3"
"kittenish";"minaudier";"C2";"1"
"klutzy";"maladroit";"B2";"3"
"knavish";"coquin";"C1";"2"
"knee-deep";"jusqu'aux genoux";"B1";"4"
"knee-high";"à hauteur de genou";"B1";"4"
"knee-length";"à la longueur du genou";"B1";"4"
"knickered";"en culotte";"C2";"1"
"knightly";"chevaleresque";"C1";"2"
"knitted";"tricoté";"A2";"7"
"knobbly";"bosselé";"C1";"2"
"knock-kneed";"genoux cagneux";"C2";"1"
"knockabout";"bon enfant";"C1";"2"
"knockdown";"démontable";"B2";"3"
"knockout";"renversant";"B2";"4"
"knotted";"noué";"B1";"5"
"knotty";"noueux";"C1";"2"
"knowable";"connaissable";"B2";"4"
"knowing";"savoir";"A2";"8"
"knowledgeable";"savant - érudit";"B2";"6"
"knowledgeless";"ignorant";"B2";"3"
"known";"connu";"A1";"10"
"knurled";"moleté";"C2";"1"
"kooky";"dingue";"B2";"3"
"kosher";"casher";"B1";"5"
"kymographic";"kymographique";"C2";"1"
