lackadaisical;nonchalant-languissant;B2;4
lambent;flamboyant-luisant;C1;3
lamentable;lamentable-déplorable;B1;6
lanky;gringalet-élancé;B2;5
large;grand-large;A1;10
lascivious;lascif-libidineux;C2;2
last;dernier-ultime;A1;10
late;tardif-en retard;A1;10
laudable;louable-méritoire;B2;6
laughable;risible-dérisoire;B2;5
lavish;généreux-prodigue;B1;7
lazy;paresseux-lent;A2;9
leaden;plombé-lourd;C1;3
lean;maigre-mince;A2;8
lecherous;libidineux-lubrique;C2;1
legible;lisible-compréhensible;B1;7
legitimate;légitime-valide;B1;8
leisurely;loisir-détendu;B2;6
lethal;léthal-mortel;B2;5
liberal;libéral-généreux;B1;7
light;léger-clair;A1;10
limber;souple-flexible;B2;5
limp;boiteux-flasque;B2;4
linear;linéaire-en ligne;B1;7
liquid;liquide-fluide;A2;9
literal;literal-concret;B2;6
literate;lettré-éduqué;B2;5
little;petit-minuscule;A1;10
lively;vivant-animé;A2;9
livid;livide-furieux;B2;4
local;local-régional;A1;10
logical;logique-rationnel;A2;9
lonely;solitaire-isolé;A2;8
long;long-étendu;A1;10
loose;lâche-détendu;A2;8
loud;fort-bruyant;A1;10
lovely;adorable-charmant;A2;9
low;bas-faible;A1;10
loyal;loyal-fidèle;A2;8
lucid;lucide-clair;B1;7
lucky;chanceux-favorisé;A2;9
ludicrous;ridicule-absurde;B2;5
luminous;lumineux-brillant;B1;7
lurid;luride-sordide;C1;3
luscious;succulent-délicieux;B2;5
lush;luxuriant-riche;B2;6
lustrous;lustre-brillant;C1;4
luxuriant;luxuriant-prospère;B2;5
luxurious;luxueux-opulent;B1;7
lyrical;lyrique-expressif;B2;6
