magnificent;magnifique-grandiose;B2;7
majestic;majestueux-imposant;B2;6
marvelous;merveilleux-fantastique;B1;7
massive;massif-énorme;B1;6
mature;mature-adulte;A2;5
meager;maigre-pauvre;B2;4
mealy;farineux-granuleux;C1;2
mean;méchant-avare;A2;5
measly;minable-misérable;C1;1
meaty;charnu-riche;B2;4
medical;médical-santé;A2;7
mediocre;médiocre-moyen;B1;5
meek;doux-humble;B2;3
mellow;doux-fruité;B2;3
melodic;mélodique-harmonieux;B1;5
merciful;miséricordieux-clément;C1;2
mere;simple-pur;B2;4
merry;joyeux-gai;A2;6
messy;en désordre-sale;A2;6
mighty;puissant-mighty;B1;5
mild;doux-léger;A2;6
military;militaire-armée;A2;7
miniscule;minuscule-petit;B2;3
minor;mineur-secondaire;B1;6
minty;mentholé-frais;C1;2
miserable;misérable-triste;A2;5
misguided;égaré-malavisé;C1;2
misty;brumeux-nuageux;B2;4
mixed;mélangé-combiné;A2;7
modern;moderne-actuel;A1;8
modest;modeste-simple;A2;6
moist;humide-mouillé;B1;5
monstrous;monstrueux-énorme;B2;3
monthly;mensuel-chaque mois;A2;7
monumental;monumental-imposant;B2;4
moral;moral-éthique;B1;6
more;plus-additionnel;A1;10
mortal;mortel-fatal;B2;4
motivated;motivé-déterminé;A2;7
mountainous;montagneux-escarpé;B2;3
mournful;triste-déploré;C1;2
muddy;boueux-sale;B1;5
multicolored;multicolore-coloré;B1;5
mundane;banal-quotidien;C1;3
murky;sombre-turbide;C1;2
muscular;musclé-fort;A2;6
mushy;mou-pâteux;B2;3
musical;musical-mélodieux;A2;7
mysterious;mystérieux-énigmatique;B1;6
mystical;mystique-spirituel;C1;3
