"naive";"naïf - naïve";"B2";7
"narcissistic";"narcissique";"C1";3
"narrow";"étroit - restreint";"A2";6
"nasty";"méchant - désagréable";"B1";5
"national";"national";"A1";10
"native";"natif - autochtone";"A2";8
"natural";"naturel";"A1";10
"naturalistic";"naturaliste";"C2";2
"naughty";"coquin - méchant";"B1";4
"nautical";"nautique";"C1";3
"navigable";"navigable";"C2";1
"neat";"soigné - net";"B2";6
"necessary";"nécessaire";"A1";10
"needless";"inutile";"B2";4
"needy";"nécessiteux";"B2";5
"negative";"négatif";"A2";9
"neglected";"négligé";"B2";5
"negligible";"négligeable";"C1";4
"negotiable";"négociable";"C1";3
"neighbourly";"voisin - amical";"B2";6
"nervous";"nerveux";"A2";8
"new";"nouveau";"A1";10
"next";"prochain";"A1";10
"nice";"gentil - agréable";"A1";10
"nifty";"astucieux";"C1";3
"nimble";"agile";"B2";6
"noble";"noble";"B1";7
"nocturnal";"nocturne";"B2";5
"noisy";"bruyant";"A2";8
"nonchalant";"nonchalant";"B2";5
"nondescript";"banal - indescriptible";"C2";2
"nonexistent";"inexistant";"B2";4
"nonstop";"non-stop";"B1";7
"normal";"normal";"A1";10
"nostalgic";"nostalgique";"B2";6
"nosy";"curieux - indiscret";"B2";5
"notable";"notable";"B1";7
"noteworthy";"remarquable";"B2";6
"noticeable";"remarquable - visible";"B2";6
"novel";"nouveau - original";"B2";5
"noxious";"nocif";"C1";3
"nuanced";"nuancé";"C1";4
"nubile";"nubile";"C2";1
"nuclear";"nucléaire";"B1";8
"null";"nul";"B2";5
"numb";"engourdi";"B2";4
"numerous";"nombreux";"A2";9
"nutritious";"nutritif";"B1";7
"nutty";"dingue - fou";"B2";5
"nymphlike";"nymphe-like";"C2";1
