"obedient";"obéissant";"A2";3
"obliging";"serviable";"B1";4
"oblivious";"insouciant - inconscient";"B2";5
"oblong";"oblongue";"C1";2
"obnoxious";"odieux - désagréable";"B2";6
"obscure";"obscur";"B1";5
"observant";"observateur";"A2";4
"obstinate";"obstiné";"B1";6
"obtrusive";"intrusif - envahissant";"C1";3
"obvious";"évident";"A2";7
"odd";"bizarre - étrange";"A2";6
"offbeat";"décalé - hors normes";"B2";4
"offensive";"offensant";"B1";5
"offhand";"désinvolte";"C1";3
"official";"officiel";"A1";8
"officious";"officieux";"C2";2
"oily";"gras - huileux";"B1";4
"old";"vieux";"A1";10
"ominous";"de mauvais augure - menaçant";"C1";3
"omnipotent";"omnipotent";"C2";1
"onerous";"onéreux";"B2";4
"open";"ouvert";"A1";9
"oppressive";"oppressant";"B2";5
"optimistic";"optimiste";"A2";7
"opulent";"opulent - luxueux";"C1";2
"orange";"orange";"A1";10
"ordinary";"ordinaire";"A2";8
"organic";"organique - biologique";"B1";6
"original";"original";"A2";7
"ornate";"orné - décoré";"B2";4
"ornery";"teigneux - hargneux";"C2";1
"oscillating";"oscillant";"C1";2
"outdoor";"en plein air - extérieur";"A2";8
"outlandish";"excentrique - bizarre";"B2";4
"outlying";"éloigné - périphérique";"C1";3
"outmoded";"démodé";"B2";5
"outrageous";"scandaleux - outré";"B1";6
"outspoken";"franc - direct";"B2";5
"outstanding";"exceptionnel - remarquable";"B1";7
"overbearing";"autoritaire - dominateur";"C1";3
"overcast";"nuageux - couvert";"B1";6
"overdue";"en retard - impayé";"B2";5
"overjoyed";"ravi - très heureux";"B1";4
"overt";"ouvert - manifeste";"C1";3
"overused";"surutilisé";"B2";4
"overweight";"en surpoids";"A2";7
"overwhelming";"écrasant - accablant";"B1";6
"overworked";"surmené";"B2";5
"overzealous";"trop zélé";"C2";2
"oxidized";"oxydé";"C1";3
