pale; pâle; A2; 5
paranoid; paranoïaque; B2; 3
passionate; passionné; A2; 7
pathetic; pathétique; B1; 4
patient; patient; A1; 8
patriotic; patriotique; B1; 6
peaceful; paisible; A2; 7
penetrating; pénétrant; B2; 2
perceptive; perspicace; B2; 3
perfect; parfait; A1; 9
perky; enjoué; B1; 3
persistent; persistant; B1; 5
pervasive; envahissant; B2; 3
pessimistic; pessimiste; B1; 5
petty; mesquin; B2; 2
petulant; capricieux; B2; 2
philosophical; philosophique; B2; 4
picky; difficile; B1; 4
picturesque; pittoresque; B2; 3
piercing; perçant; B2; 3
pioneering; pionnier; B2; 4
pithy; concis; C1; 2
pitiful; pitoyable; B1; 4
placid; placide; B2; 2
plausible; plausible; B2; 4
playful; enjoué; A2; 6
pleasant; agréable; A1; 8
plucky; courageux; B1; 4
plump; dodu; B1; 3
poised; équilibré; B2; 3
polite; poli; A1; 9
pompous; pompeux; B2; 2
popular; populaire; A1; 10
portly; corpulent; B2; 2
positive; positif; A1; 9
potent; puissant; B1; 5
powerful; puissant; A2; 8
practical; pratique; A1; 10
pragmatic; pragmatique; B2; 4
precious; précieux; A2; 7
pretty; joli; A1; 10
pristine; immaculé; C1; 1
productive; productif; B1; 6
profound; profond; B2; 4
prominent; proéminent; B2; 3
prosperous; prospère; B2; 4
proud; fier; A2; 7
punctual; ponctuel; A2; 7
pungent; piquant; B1; 4
puzzling; déroutant; B2; 3
