radiant;rayonnant - éclatant;B2;6
real;réel - vrai;A1;9
reasonable;raisonnable - sensé;B1;7
rebellious;rebelle - insoumis;B2;5
receptive;réceptif - accueillant;C1;4
reckless;imprudent - téméraire;B2;5
recycled;recyclé;B1;7
red;rouge;A1;10
redundant;redondant - superflu;C1;3
reflective;réfléchi - pensif;B2;6
refreshing;rafraîchissant;B1;7
regal;royal - majestueux;C1;2
regular;régulier;A2;8
reliable;fiable - digne de confiance;B1;8
relieved;soulagé;B1;7
remarkable;remarquable - exceptionnel;B2;6
remorseful;rempli de remords;C1;3
remote;éloigné - distant;B1;7
repentant;repentant;C1;3
repulsive;répugnant;B2;5
resilient;résilient - résistant;C1;4
resolute;résolu - déterminé;B2;6
resonant;résonnant;C1;3
respectful;respectueux;A2;8
responsible;responsable;A2;9
restful;reposant;B1;7
restless;agité - inquiet;B2;6
reverent;révérencieux;C1;3
revolutionary;révolutionnaire;B2;5
rich;riche;A2;9
ridiculous;ridicule;B1;7
right;droit - correct;A1;10
rigid;rigide;B1;7
ripe;mûr;A2;8
ritzy;chic - élégant;C2;2
roasted;rôti;A2;8
robust;robuste;B1;7
romantic;romantique;A2;9
roomy;spacieux;B2;6
rosy;rosé - optimiste;C1;4
rotten;pourri;B1;7
rough;rude - rugueux;A2;8
round;rond;A1;10
royal;royal;A2;9
ruddy;bougon - rougeaud;C2;1
rude;impoli - grossier;A2;8
rugged;robuste - accidenté;B2;5
rustic;rustique;B1;7
rusty;rouillé;B1;7
