valid;valide;A2;3
valuable;précieux-valeur;B1;6
vapid;fade-insipide;C1;1
varied;varié-divers;A2;5
various;divers-variés;A1;7
vast;vaste-immense;B1;4
vegan;végétalien;B2;3
vegetarian;végétarien;A2;5
vehement;véhément;C1;2
velvety;velouté;C2;1
vengeful;vindicatif;C2;1
venomous;venimeux;B2;2
verdant;verdoyant;C1;2
versatile;polyvalent;B2;4
veteran;vétéran;B1;3
vexed;vexé;B2;2
viable;viable;B2;4
vibrant;vibrant;B1;5
vicious;méchant-vicieux;C1;2
victorious;victorieux;B1;4
vigilant;vigilant;B2;3
vintage;vintage;B1;5
violent;violent;A2;6
viral;viral;B2;7
virile;viril;C1;2
virtual;virtuel;A2;8
virtuous;vertueux;C1;2
visceral;viscéral;C2;1
visible;visible;A1;9
visionary;visionnaire;B2;3
vital;vital;A2;7
vivid;vif-vivant;B1;4
vocal;vocal;B1;5
volatile;volatile;B2;3
volcanic;volcanique;B2;2
voluble;volubile;C1;2
voluminous;volumineux;B2;3
voluptuous;voluptueux;C2;1
voracious;vorace;C1;2
vulgar;vulgaire;B1;6
vulnerable;vulnérable;A2;5
