"wacky";"farfelu - bizarre";"B2";6
"warm";"chaud - accueillant";"A1";9
"wary";"méfiant - prudent";"B2";5
"wasteful";"gaspilleur - prodigue";"B1";4
"watchful";"vigilant - attentif";"B2";5
"watery";"aqueux - liquide";"B1";3
"wavy";"ondulé - vagues";"B1";4
"weak";"faible - débile";"A2";8
"wealthy";"riche - fortuné";"A2";7
"weary";"fatigué - las";"B1";6
"wee";"minuscule - petit";"B2";3
"weird";"étrange - bizarre";"A2";7
"welcome";"bienvenu - accueilli";"A1";10
"well";"bien - en bonne santé";"A1";10
"well-groomed";"soigné - bien habillé";"B2";4
"well-off";"aisé - fortuné";"B2";5
"well-to-do";"aisé - riche";"B2";4
"wet";"mouillé - humide";"A1";9
"whimsical";"fantaisiste - capricieux";"B2";3
"white";"blanc - clair";"A1";10
"whole";"entier - complet";"A1";9
"wholesale";"en gros - total";"B2";3
"wicked";"méchant - vilain";"B1";5
"wide";"large - vaste";"A1";9
"wide-eyed";"ébahis - surpris";"B2";3
"wiggly";"ondulé - tortueux";"B2";2
"wild";"sauvage - fou";"A2";8
"willing";"prêt - volontaire";"A2";7
"windy";"venteux - venteux";"A2";6
"wiry";"filiforme - maigre";"B2";2
"wise";"sage - avisé";"A2";7
"wishful";"envieux - désireux";"B2";4
"wistful";"mélancolique - nostalgique";"B2";3
"witty";"spirituel - drôle";"B2";5
"woeful";"malheureux - triste";"B2";3
"wonderful";"merveilleux - fantastique";"A1";10
"wondering";"se demandant - curieux";"B2";5
"wooden";"en bois - rigide";"A2";6
"woozy";"étourdi - vaseux";"B2";2
"wordy";"verbeux - loquace";"B2";3
"workable";"faisable - réalisable";"B1";6
"worried";"inquiet - préoccupé";"A2";8
"worrisome";"inquiétant - préoccupant";"B2";4
"worthless";"sans valeur - inutile";"B1";5
"worthy";"digne - méritant";"B1";6
"wounded";"blessé - offensé";"A2";7
"wrathful";"courroucé - furieux";"B2";2
"wretched";"misérable - lamentable";"B2";3
"wrong";"faux - incorrect";"A1";10
"wry";"ironique - tordu";"B2";4
