zany;fou-excentrique;B2;6
zealous;passionné-zélé;B2;7
zenithal;zenithal;C1;2
zeolitic;zéolitique;C2;1
zeroth;zéroième;B1;3
zestful;plein d'entrain;B2;5
zesty;piquant;B1;4
zibeline;zibeline;C2;1
zigzag;zigzag;A2;5
zillion;un zillion;B1;4
zinciferous;zincifère;C1;2
zincographic;zincographique;C2;1
zincous;zincous;C2;1
zinky;zinky;C2;1
zippy;vif-rapide;B2;6
zirconic;zirconique;C1;2
zoanthropic;zoanthropique;C2;1
zodiacal;zodiacal;B1;4
zoetic;zoétique;C2;1
zonal;zonal;B1;4
zonary;zonary;C2;1
zonate;zoné;C1;2
zonked;épuisé;B2;6
zoographic;zoographique;C2;1
zoological;zoologique;B1;4
zoometric;zoométrique;C2;1
zootomic;zootomique;C2;1
zootrophic;zootrophique;C2;1
zygomatic;zygomatique;C1;2
zygomorphic;zygomorphique;C2;1
zygotic;zygotique;C1;2
zymogenic;zymogénique;C2;1
zymotic;zymotique;C2;1
zymurgical;zymurgical;C2;1
