"faintly";"faiblement";"B2";4;"Manner"
"faithfully";"fidèlement";"B1";6;"Manner"
"falsely";"faussement";"B2";3;"Manner"
"famously";"fameusement";"C1";2;"Degree"
"fast";"rapidement";"A2";8;"Manner"
"fearfully";"craintivement";"C1";3;"Manner"
"fervently";"fervemment";"C2";2;"Manner"
"fiercely";"férocement";"B2";5;"Manner"
"finally";"finalement";"A2";9;"Time"
"firmly";"fermement";"B1";7;"Manner"
"fiscally";"fiscalement";"C2";1;"Manner"
"fittingly";"convenablement";"C1";3;"Manner"
"flawlessly";"parfaitement";"B2";6;"Manner"
"fondly";"affectueusement";"C1";3;"Manner"
"frankly";"franchement";"B1";7;"Manner"
"freely";"librement";"A2";8;"Manner"
"frequently";"fréquemment";"A1";10;"Frequency"
"frightfully";"terriblement";"C1";2;"Degree"
"furiously";"furieusement";"B2";5;"Manner"
"futilely";"inutilement";"C2";1;"Manner"
