"kaleidoscopically";"de manière kaléidoscopique";"C2";1;"Manner"
"keenly";"vivement - avec enthousiasme";"B2";6;"Manner"
"kiddingly";"en plaisantant";"C1";3;"Manner"
"kiddly";"de manière enfantine";"C2";1;"Manner"
"killingly";"mortellement";"C2";2;"Degree"
"kindly";"gentiment - aimablement";"A2";8;"Manner"
"kinkily";"de manière tordue";"C1";2;"Manner"
"kinkly";"de manière contournée";"C2";1;"Manner"
"kissably";"de manière embrassable";"C2";1;"Manner"
"kittenishly";"de manière chaton";"C2";1;"Manner"
"knavely";"de manière sournoise";"C2";2;"Manner"
"knavishly";"astucieusement - sournoisement";"C2";3;"Manner"
"kneadingly";"de manière pétrissante";"C2";1;"Manner"
"knightly";"chevaleresquement";"B2";4;"Manner"
"knobbly";"de manière bosselée";"C2";1;"Manner"
"knottily";"de manière noueuse";"C2";1;"Manner"
"knowingly";"sciemment - consciemment";"B2";7;"Manner"
"knowledgably";"savamment";"C1";5;"Manner"
"knuckly";"de manière noueuse";"C2";1;"Manner"
"kookily";"de manière excentrique";"C1";3;"Manner"
