"lamentably;de manière lamentable;B2;3;Manner"
"languidly;lentement-doucement;B2;2;Manner"
"largely;largement-principalement;B1;6;Degree"
"lately;récemment-dernièrement;A2;7;Time"
"laughably;ridiculement;C1;1;Manner"
"lawfully;légalement;B2;4;Manner"
"lazily;paresseusement;B1;3;Manner"
"lengthily;longuement;C1;2;Manner"
"literally;litéralement;B2;5;Degree"
"logically;logiquement;B1;6;Manner"
"longingly;avec envie-ardemment;B2;3;Manner"
"loosely;librement-lâchement;B2;4;Manner"
"loudly;fort-bruyamment;A2;7;Manner"
"lovingly;affectueusement;B1;3;Manner"
"loyally;loyalement;B2;4;Manner"
"luckily;heureusement;A2;7;Degree"
"ludicrously;ridiculement-absurdement;C1;1;Degree"
"luridly;de manière sordide;C2;1;Manner"
"lusciously;délicieusement;C2;2;Manner"
"luxuriously;luxueusement;C1;3;Manner"
