"madly";"follement";"B2";7;"Manner"
"magnificently";"magnifiquement";"C1";6;"Manner"
"mainly";"principalement";"B1";8;"Degree"
"majestically";"majestueusement";"C2";5;"Manner"
"markedly";"nettement";"C1";6;"Degree"
"massively";"massivement";"B2";7;"Degree"
"maybe";"peut-être";"A2";9;"Frequency"
"meaningfully";"de manière significative";"C1";6;"Manner"
"mechanically";"mécaniquement";"B2";7;"Manner"
"medically";"médicalement";"C1";6;"Manner"
"melodically";"mélodiquement";"C2";5;"Manner"
"menacingly";"menaçant";"C1";6;"Manner"
"mercifully";"heureusement";"B2";7;"Frequency"
"merely";"simplement";"B1";8;"Degree"
"meticulously";"minutieusement";"C1";6;"Manner"
"mightily";"puissamment";"C2";5;"Degree"
"miraculously";"miraculeusement";"C2";5;"Manner"
"more";"plus";"A1";10;"Degree"
"most";"le plus";"A1";10;"Degree"
"much";"beaucoup";"A1";10;"Degree"
