"namely";"à savoir";"B2";7;"Adverb of Manner"
"narrowly";"de justesse";"C1";3;"Adverb of Manner"
"naturally";"naturellement";"A2";8;"Adverb of Manner"
"nearly";"presque";"A2";9;"Adverb of Degree"
"neatly";"soigneusement";"B1";5;"Adverb of Manner"
"necessarily";"nécessairement";"B1";6;"Adverb of Degree"
"negatively";"négativement";"B2";4;"Adverb of Manner"
"nervously";"nerveusement";"B2";4;"Adverb of Manner"
"never";"jamais";"A1";10;"Adverb of Frequency"
"newly";"nouvellement";"B2";4;"Adverb of Time"
"next";"ensuite";"A1";10;"Adverb of Time"
"nightly";"chaque nuit";"B2";3;"Adverb of Frequency"
"nobly";"noblement";"C1";2;"Adverb of Manner"
"noisily";"bruyamment";"B1";5;"Adverb of Manner"
"nonchalantly";"nonchalamment";"C2";1;"Adverb of Manner"
"nonetheless";"néanmoins";"B2";6;"Adverb of Concession"
"normally";"normalement";"A2";8;"Adverb of Frequency"
"not";"pas";"A1";10;"Adverb of Negation"
"noticeably";"notablement";"B2";5;"Adverb of Degree"
"now";"maintenant";"A1";10;"Adverb of Time"
