"particularly";"particulièrement";"B2";7;"Degree"
"passionately";"passionnément";"C1";4;"Manner"
"peacefully";"paisiblement";"B1";6;"Manner"
"perfectly";"parfaitement";"A2";8;"Degree"
"persistently";"persistant";"C1";3;"Frequency"
"politely";"poliment";"A2";9;"Manner"
"positively";"positivement";"B2";5;"Degree"
"possibly";"possiblement";"B1";7;"Probability"
"potentially";"potentiellement";"C1";4;"Probability"
"powerfully";"puissamment";"C2";2;"Degree"
"practically";"pratiquement";"B2";6;"Degree"
"precisely";"précisément";"B1";8;"Degree"
"previously";"précédemment";"B2";7;"Time"
"primarily";"principalement";"B2";6;"Degree"
"probably";"probablement";"A2";10;"Probability"
"profoundly";"profondément";"C2";3;"Degree"
"promptly";"rapidement";"B1";7;"Time"
"proudly";"fièrement";"C1";4;"Manner"
"publicly";"publiquement";"B2";5;"Place"
"purely";"purement";"C1";4;"Degree"
