"sadly";"tristement";"A2";3;"manner"
"safely";"sûrement - en sécurité";"B1";5;"manner"
"seldom";"rarement";"B2";2;"frequency"
"seriously";"sérieusement";"A2";6;"manner"
"sharply";"nettement - brusquement";"C1";4;"degree"
"significantly";"significativement";"C1";7;"degree"
"silently";"silencieusement";"B1";3;"manner"
"simply";"simplement";"A2";8;"degree"
"sincerely";"sincèrement";"B2";4;"manner"
"slowly";"lentement";"A1";7;"manner"
"smoothly";"doucement - sans à-coups";"B2";5;"manner"
"steadily";"régulièrement - constamment";"B2";6;"frequency"
"strictly";"strictement";"C1";3;"degree"
"strongly";"fortement";"B1";7;"degree"
"subtly";"subtilement";"C2";2;"manner"
"suddenly";"soudainement";"A2";6;"time"
"superbly";"superbement";"C2";1;"manner"
"surely";"sûrement";"B1";8;"degree"
"suspiciously";"suspectement";"C2";1;"manner"
"swiftly";"rapidement";"B1";7;"manner"
