"vaguely;vaguement;B2;6;Manner"
"vainly;vainement;C1;3;Manner"
"valiantly;vaillamment;C1;4;Manner"
"validly;valablement;B2;5;Manner"
"valorously;vaillamment;C2;2;Manner"
"vastly;vaste-énormément;B1;7;Degree"
"vehemently;véhémentement;C1;3;Manner"
"venomously;venimeusement;C2;1;Manner"
"veraciously;véridiquement;C2;1;Manner"
"verbally;verbalement;B2;6;Manner"
"verily;vraiment;C2;2;Degree"
"vertically;verticalement;A2;8;Direction"
"viciously;viciously;C1;3;Manner"
"victoriously;victorieusement;C1;4;Manner"
"vigilantly;vigilamment;C2;2;Manner"
"vigorously;vigoureusement;B2;5;Manner"
"vindictively;vindicativement;C2;1;Manner"
"violently;violemment;B1;7;Manner"
"virtually;virtuellement;B2;6;Degree"
"visibly;visiblement;A2;8;Degree"
"vividly;vividement;B2;5;Manner"
"voluntarily;volontairement;A2;8;Manner"
