daisy;marguerite;A1;7;CONCRETE
dancer;danseur-danseuse;A2;6;CONCRETE
dandelion;pissenlit;B1;3;CONCRETE
dawn;aube;B2;4;ABSTRACT
dent;bosse;A2;5;CONCRETE
dentist;dentiste;A1;7;CONCRETE
desk;bureau;A1;8;CONCRETE
diagram;diagramme;B2;6;CONCRETE
diamond;diamant;A2;6;CONCRETE
diary;journal-intime;A2;6;CONCRETE
dilemma;dilemme;C1;5;ABSTRACT
dimple;fossette;B2;3;CONCRETE
dinner;dîner;A1;9;CONCRETE
dinosaur;dinosaure;A1;7;CONCRETE
diploma;diplôme;B1;7;CONCRETE
diplomat;diplomate;B2;5;CONCRETE
dipstick;jauge;B2;2;CONCRETE
director;directeur-directrice;A2;8;CONCRETE
dirt;saleté;A2;6;CONCRETE
disaster;désastre;B1;7;ABSTRACT
discipline;discipline;B1;7;ABSTRACT
disco;disco;A2;5;CONCRETE
discount;remise;A2;7;ABSTRACT
discovery;découverte;B1;7;ABSTRACT
discussion;discussion;A2;8;ABSTRACT
disease;maladie;A2;8;ABSTRACT
dishwasher;lave-vaisselle;A2;6;CONCRETE
disk;disque;A2;6;CONCRETE
dispatcher;répartiteur-répartitrice;B2;3;CONCRETE
display;affichage;B1;7;CONCRETE
distance;distance;A1;8;ABSTRACT
distinction;distinction;B2;6;ABSTRACT
district;district;A2;7;CONCRETE
ditch;fosse;B2;4;CONCRETE
diver;plongeur-plongeuse;B1;5;CONCRETE
dividend;dividende;C1;4;ABSTRACT
division;division;B1;7;ABSTRACT
divorce;divorce;A2;7;ABSTRACT
dock;quai;B1;5;CONCRETE
doctor;docteur;A1;9;CONCRETE
doctrine;doctrine;C1;4;ABSTRACT
document;document;A1;9;CONCRETE
documentary;documentaire;B1;6;CONCRETE
dog;chien;A1;10;CONCRETE
doghouse;niche;B2;3;CONCRETE
dollar;dollar;A1;9;CONCRETE
dolphin;dauphin;A1;7;CONCRETE
dolphinarium;dolphinarium;C1;2;CONCRETE
domino;domino;A2;5;CONCRETE
donation;donation;B2;6;ABSTRACT
donkey;âne;A1;7;CONCRETE
donut;beignet;A2;6;CONCRETE
doodle;gribouillage;B2;4;CONCRETE
door;porte;A1;10;CONCRETE
doorbell;sonnette;A2;6;CONCRETE
doorway;entrée;A2;7;CONCRETE
dormitory;dortoir;B1;6;CONCRETE
dormouse;loir;C1;2;CONCRETE
dot;point;A1;8;CONCRETE
double;double;A2;7;ABSTRACT
doubt;doute;A2;8;ABSTRACT
dough;pâte;A2;7;CONCRETE
doughnut;beignet;A2;6;CONCRETE
dove;colombe;A2;6;CONCRETE
dovecote;pigeonnier;C1;2;CONCRETE
dragon;dragon;A1;7;CONCRETE
dragonfly;libellule;B2;3;CONCRETE
drain;drain;B2;5;CONCRETE
drainage;drainage;C1;4;CONCRETE
drama;drame;B1;7;ABSTRACT
drawer;tiroir;A2;7;CONCRETE
dream;rêve;A1;9;ABSTRACT
dreamer;rêveur-rêveuse;B1;6;CONCRETE
dress;robe;A1;9;CONCRETE
dresser;commode;A2;6;CONCRETE
drill;perceuse;B1;5;CONCRETE
drink;boisson;A1;10;CONCRETE
driver;conducteur-conductrice;A1;8;CONCRETE
driveway;allée;B2;5;CONCRETE
drone;drone;B2;6;CONCRETE
drop;goutte;A1;8;CONCRETE
drugstore;pharmacie;A2;7;CONCRETE
drum;tambour;A1;7;CONCRETE
drumstick;baguette;B2;4;CONCRETE
duck;canard;A1;7;CONCRETE
duckling;caneton;B2;3;CONCRETE
dumpling;boulette;B2;4;CONCRETE
dune;dune;B1;5;CONCRETE
dungeon;donjon;C1;3;CONCRETE
duo;duo;B1;6;CONCRETE
duplex;duplex;B2;5;CONCRETE
dusk;crépuscule;B2;4;ABSTRACT
dust;poussière;A2;7;CONCRETE
dustbin;poubelle;A2;7;CONCRETE
dustpan;pelle;B2;4;CONCRETE
duty;devoir;A2;8;ABSTRACT
dwarf;nain;B1;5;CONCRETE
dwarfism;nanisme;C1;3;ABSTRACT
dynamic;dynamique;B2;6;ABSTRACT
dynamite;dynamite;B2;4;CONCRETE
dynamo;dynamo;C1;3;CONCRETE
dynasty;dynastie;C1;4;CONCRETE
dyslexia;dyslexie;C1;4;ABSTRACT
