"ice";"glace";"A1";1;"CONCRETE"
"idea";"idée";"A2";2;"ABSTRACT"
"illusion";"illusion";"B1";3;"ABSTRACT"
"illusionist";"illusionniste";"B2";4;"CONCRETE"
"illustration";"illustration";"C1";5;"CONCRETE"
"image";"image";"A1";6;"CONCRETE"
"imagination";"imagination";"A2";7;"ABSTRACT"
"imitation";"imitation";"B1";8;"ABSTRACT"
"immigrant";"immigrant";"B2";9;"CONCRETE"
"immigration";"immigration";"C1";10;"ABSTRACT"
"immunity";"immunité";"C2";1;"ABSTRACT"
"impact";"impact";"A1";2;"ABSTRACT"
"implementation";"mise en œuvre";"A2";3;"ABSTRACT"
"implication";"implication";"B1";4;"ABSTRACT"
"importance";"importance";"B2";5;"ABSTRACT"
"impression";"impression";"C1";6;"ABSTRACT"
"improvement";"amélioration";"C2";7;"ABSTRACT"
"incidence";"incidence";"A1";8;"ABSTRACT"
"inclusion";"inclusion";"A2";9;"ABSTRACT"
"income";"revenu";"B1";10;"ABSTRACT"
"increase";"augmentation";"B2";1;"ABSTRACT"
"independence";"indépendance";"C1";2;"ABSTRACT"
"index";"index";"C2";3;"CONCRETE"
"indication";"indication";"A1";4;"ABSTRACT"
"indicator";"indicateur";"A2";5;"CONCRETE"
"individual";"individu";"B1";6;"CONCRETE"
"industrialist";"industriel";"B2";7;"CONCRETE"
"industry";"industrie";"C1";8;"ABSTRACT"
"infant";"bébé";"C2";9;"CONCRETE"
"infection";"infection";"A1";10;"ABSTRACT"
"inference";"inférence";"A2";1;"ABSTRACT"
"inflation";"inflation";"B1";2;"ABSTRACT"
"information";"information";"B2";3;"ABSTRACT"
"infrastructure";"infrastructure";"C1";4;"CONCRETE"
"ingredient";"ingrédient";"C2";5;"CONCRETE"
"inhabitant";"habitant";"A1";6;"CONCRETE"
"inhibition";"inhibition";"A2";7;"ABSTRACT"
"initiative";"initiative";"B1";8;"ABSTRACT"
"initiator";"initiateur";"B2";9;"CONCRETE"
"injection";"injection";"C1";10;"CONCRETE"
"injunction";"injonction";"C2";1;"ABSTRACT"
"injury";"blessure";"A1";2;"ABSTRACT"
"ink";"encre";"A2";3;"CONCRETE"
"inn";"auberge";"B1";4;"CONCRETE"
"innovation";"innovation";"B2";5;"ABSTRACT"
"inquiry";"enquête";"C1";6;"ABSTRACT"
"insect";"insecte";"C2";7;"CONCRETE"
"insight";"perspicacité";"A1";8;"ABSTRACT"
"insomnia";"insomnie";"A2";9;"ABSTRACT"
"inspection";"inspection";"B1";10;"ABSTRACT"
"inspector";"inspecteur";"B2";1;"CONCRETE"
"inspiration";"inspiration";"C1";2;"ABSTRACT"
"installation";"installation";"C2";3;"CONCRETE"
"instance";"instance";"A1";4;"ABSTRACT"
"institution";"institution";"A2";5;"ABSTRACT"
"instruction";"instruction";"B1";6;"ABSTRACT"
"instructor";"instructeur";"B2";7;"CONCRETE"
"insulator";"isolant";"C1";8;"CONCRETE"
"insurance";"assurance";"C2";9;"ABSTRACT"
"insurgence";"insurrection";"A1";10;"ABSTRACT"
"integrity";"intégrité";"A2";1;"ABSTRACT"
"intellect";"intellect";"B1";2;"ABSTRACT"
"intelligence";"intelligence";"B2";3;"ABSTRACT"
"intensity";"intensité";"C1";4;"ABSTRACT"
"intention";"intention";"C2";5;"ABSTRACT"
"interaction";"interaction";"A1";6;"ABSTRACT"
"interest";"intérêt";"A2";7;"ABSTRACT"
"interface";"interface";"B1";8;"CONCRETE"
"interference";"interférence";"B2";9;"ABSTRACT"
"interior";"intérieur";"C1";10;"CONCRETE"
"interlude";"interlude";"C2";1;"ABSTRACT"
"intern";"stagiaire";"A1";2;"CONCRETE"
"interpretation";"interprétation";"A2";3;"ABSTRACT"
"interruption";"interruption";"B1";4;"ABSTRACT"
"intersection";"intersection";"B2";5;"CONCRETE"
"interval";"intervalle";"C1";6;"ABSTRACT"
"intervention";"intervention";"C2";7;"ABSTRACT"
"interview";"entretien";"A1";8;"ABSTRACT"
"intimacy";"intimité";"A2";9;"ABSTRACT"
"introduction";"introduction";"B1";10;"ABSTRACT"
"intruder";"intrus";"B2";1;"CONCRETE"
"invasion";"invasion";"C1";2;"ABSTRACT"
"invention";"invention";"C2";3;"ABSTRACT"
"inventory";"inventaire";"A1";4;"CONCRETE"
"investigator";"enquêteur";"A2";5;"CONCRETE"
"investment";"investissement";"B1";6;"ABSTRACT"
"investor";"investisseur";"B2";7;"CONCRETE"
"invitation";"invitation";"C1";8;"ABSTRACT"
"involvement";"implication";"C2";9;"ABSTRACT"
"iris";"iris";"A1";10;"CONCRETE"
"iron";"fer";"A2";1;"CONCRETE"
"irony";"ironie";"B1";2;"ABSTRACT"
"island";"île";"B2";3;"CONCRETE"
"isotope";"isotope";"C1";4;"CONCRETE"
"issue";"problème";"C2";5;"ABSTRACT"
"itch";"démangeaison";"A1";6;"ABSTRACT"
"item";"article";"A2";7;"CONCRETE"
"iteration";"itération";"B1";8;"ABSTRACT"
"ivory";"ivoire";"B2";9;"CONCRETE"
"ivy";"lierre";"C1";10;"CONCRETE"
