kale;chou frisé;A2;3;CONCRETE
kaleidoscope;kaleidoscope;B1;2;CONCRETE
kangaroo;kangourou;A2;4;CONCRETE
karaoke;karaoke;B1;3;CONCRETE
karate;karaté;A2;4;CONCRETE
karma;karma;B2;3;ABSTRACT
kayak;kayak;A2;3;CONCRETE
kazoo;kazoo;B2;1;CONCRETE
kebab;kebab;A2;5;CONCRETE
keel;quille;B1;2;CONCRETE
keen;avide-enthousiaste;B2;4;ABSTRACT
keeper;gardien;A2;4;CONCRETE
keepsake;souvenir;B1;3;CONCRETE
kelp;varech;C1;1;CONCRETE
kennel;chenil;B1;2;CONCRETE
kerchief;foulard;B2;2;CONCRETE
kerosene;kérosène;B1;2;CONCRETE
kestrel;crécerelle;C1;1;CONCRETE
ketchup;ketchup;A1;6;CONCRETE
kettle;bouilloire;A2;4;CONCRETE
key;clé;A1;7;CONCRETE
keyboard;clavier;A1;7;CONCRETE
keyhole;trou de serrure;B2;2;CONCRETE
keynote;note clé-discours principal;C1;3;ABSTRACT
khaki;kaki;B1;3;CONCRETE
kick;coup de pied;A2;5;CONCRETE
kickstand;béquille;B2;2;CONCRETE
kid;enfant;A1;7;CONCRETE
kidnapper;ravisseur;B2;2;CONCRETE
kidney;rein;B1;4;CONCRETE
killjoy;rabat-joie;C1;2;CONCRETE
kiln;four;C1;2;CONCRETE
kilogram;kilogramme;A1;6;CONCRETE
kilometer;kilomètre;A1;6;CONCRETE
kimono;kimono;B1;3;CONCRETE
kind;gentil-genre;A1;7;ABSTRACT
kindergarten;maternelle;A2;5;CONCRETE
kindness;gentillesse;A2;6;ABSTRACT
king;roi;A1;7;CONCRETE
kingdom;royaume;A2;5;CONCRETE
kink;pli-accroc;B2;2;CONCRETE
kinship;parenté;C1;2;ABSTRACT
kiosk;kiosque;A2;4;CONCRETE
kipper;hareng;C1;1;CONCRETE
kiss;baiser;A1;7;CONCRETE
kitchen;cuisine;A1;7;CONCRETE
kitchenware;ustensiles de cuisine;B2;3;CONCRETE
kite;cerf-volant;A2;4;CONCRETE
kitten;chaton;A2;5;CONCRETE
kittenish;espiègle;C1;2;ABSTRACT
kiwi;kiwi;A2;4;CONCRETE
knack;don-aptitude;B2;3;ABSTRACT
knapsack;sac à dos;B1;3;CONCRETE
knee;genou;A1;6;CONCRETE
kneecap;rotule;B2;2;CONCRETE
knickers;culotte;B1;3;CONCRETE
knife;couteau;A1;7;CONCRETE
knight;chevalier;A2;5;CONCRETE
knighthood;chevalerie;C1;2;ABSTRACT
knit;tricot;B1;3;CONCRETE
knob;bouton;B1;3;CONCRETE
knock;coup-frapper;A2;5;CONCRETE
knockout;KO-coup de grâce;B2;3;CONCRETE
knot;nœud;A2;4;CONCRETE
knowledge;connaissance;A2;6;ABSTRACT
knuckle;articulation;B2;2;CONCRETE
koala;koala;A2;4;CONCRETE
koi;carpe koi;C1;1;CONCRETE
kookaburra;kookaburra;C2;1;CONCRETE
kookiness;excentricité;C2;1;ABSTRACT
krypton;krypton;C2;1;CONCRETE
kumquat;kumquat;C1;1;CONCRETE
