label;étiquette;A2;6;CONCRETE
labor;travail;B1;7;ABSTRACT
laboratory;laboratoire;A2;6;CONCRETE
lack;manque;B1;7;ABSTRACT
ladder;échelle;A2;5;CONCRETE
lady;dame;A1;7;CONCRETE
lake;lac;A1;6;CONCRETE
lamb;agneau;A2;5;CONCRETE
lamp;lampe;A1;6;CONCRETE
land;terre;A1;8;CONCRETE
landmark;point de repère;B2;5;CONCRETE
landscape;paysage;A2;6;CONCRETE
lane;voie;B1;5;CONCRETE
language;langue;A1;9;ABSTRACT
laptop;ordinateur portable;A2;8;CONCRETE
lark;alouette;B2;3;CONCRETE
lash;cil;C1;3;CONCRETE
latitude;latitude;B2;4;ABSTRACT
laugh;rire;A1;7;ABSTRACT
laundry;linge;A2;6;CONCRETE
lava;lave;B1;4;CONCRETE
law;loi;A2;8;ABSTRACT
lawn;pelouse;B1;5;CONCRETE
lawsuit;poursuite;C1;4;ABSTRACT
lawyer;avocat;A2;7;CONCRETE
layer;couche;B1;6;CONCRETE
layout;disposition;B2;5;ABSTRACT
lead;plomb;B1;5;CONCRETE
leader;leader;A2;8;CONCRETE
leadership;leadership;B2;7;ABSTRACT
leaf;feuille;A1;6;CONCRETE
leaflet;brochure;B1;5;CONCRETE
league;ligue;A2;7;ABSTRACT
leak;fuite;B2;5;ABSTRACT
learner;apprenant;B1;7;CONCRETE
learning;apprentissage;A2;8;ABSTRACT
lease;bail;B2;5;ABSTRACT
leash;laisse;B2;4;CONCRETE
leather;cuir;A2;6;CONCRETE
lecture;conférence;B1;7;ABSTRACT
ledge;rebord;C1;3;CONCRETE
left;gauche;A1;8;ABSTRACT
leg;jambe;A1;7;CONCRETE
legacy;héritage;C1;4;ABSTRACT
legend;légende;B1;6;ABSTRACT
legislation;législation;C1;6;ABSTRACT
legume;légume;A2;6;CONCRETE
leisure;loisir;B1;7;ABSTRACT
lemon;citron;A1;6;CONCRETE
lemonade;limonade;A2;5;CONCRETE
length;longueur;A2;7;ABSTRACT
lens;objectif;B2;5;CONCRETE
leopard;léopard;B1;4;CONCRETE
lesson;leçon;A1;8;ABSTRACT
letter;lettre;A1;8;CONCRETE
lettuce;laitue;A2;5;CONCRETE
level;niveau;A1;8;ABSTRACT
lever;levier;B2;5;CONCRETE
liability;responsabilité;C1;6;ABSTRACT
liar;menteur;B2;6;CONCRETE
liberty;liberté;B1;7;ABSTRACT
librarian;bibliothécaire;B1;5;CONCRETE
library;bibliothèque;A1;7;CONCRETE
license;licence;B1;7;ABSTRACT
lid;couvercle;B1;5;CONCRETE
lie;mensonge;A2;7;ABSTRACT
life;vie;A1;10;ABSTRACT
lifeboat;canot de sauvetage;C1;3;CONCRETE
lifeguard;sauveteur;B2;4;CONCRETE
lifestyle;style de vie;B1;7;ABSTRACT
light;lumière;A1;8;ABSTRACT
lighthouse;phare;B1;5;CONCRETE
lightning;éclair;B1;5;CONCRETE
lily;lys;B2;4;CONCRETE
limb;membre;B2;5;CONCRETE
lime;citron vert;A2;5;CONCRETE
limit;limite;A2;7;ABSTRACT
line;ligne;A1;8;CONCRETE
lineage;ascendance;C2;3;ABSTRACT
linen;lin;B2;5;CONCRETE
link;lien;A2;8;ABSTRACT
lion;lion;A1;7;CONCRETE
lioness;lionne;B2;5;CONCRETE
lip;lèvre;A2;6;CONCRETE
lipstick;rouge à lèvres;A2;6;CONCRETE
liquid;liquide;A2;7;CONCRETE
liquidation;liquidation;C1;4;ABSTRACT
liquor;alcool;B1;6;CONCRETE
list;liste;A1;8;CONCRETE
literature;literature;B2;7;ABSTRACT
litigation;litige;C1;4;ABSTRACT
lizard;lézard;B1;5;CONCRETE
llama;lama;B2;4;CONCRETE
load;charge;B1;6;ABSTRACT
lobster;homard;B1;5;CONCRETE
location;emplacement;A2;7;CONCRETE
lock;serrure;A2;6;CONCRETE
locket;médaillon;C1;3;CONCRETE
locust;sauterelle;C1;3;CONCRETE
loft;grenier;B2;5;CONCRETE
log;bûche;B2;5;CONCRETE
logic;logique;B1;7;ABSTRACT
logistics;logistique;C1;6;ABSTRACT
loneliness;solitude;B2;6;ABSTRACT
longitude;longitude;B2;4;ABSTRACT
look;regard;A1;8;ABSTRACT
lookout;guet;C1;4;CONCRETE
loot;butin;C1;4;CONCRETE
lord;seigneur;B2;5;CONCRETE
lorry;camion;A2;6;CONCRETE
loss;perte;A2;7;ABSTRACT
lot;lot;B1;6;CONCRETE
lottery;loterie;B1;6;ABSTRACT
lounge;salle d'attente;B2;5;CONCRETE
louse;pou;C1;3;CONCRETE
love;amour;A1;10;ABSTRACT
lover;amant;B1;7;CONCRETE
luck;chance;A1;8;ABSTRACT
luggage;bagages;A2;7;CONCRETE
lumber;bois;B2;5;CONCRETE
lunch;déjeuner;A1;8;CONCRETE
luncheon;déjeuner;B2;5;CONCRETE
lung;poumon;A2;7;CONCRETE
lure;leurre;C1;4;CONCRETE
luxury;luxure;B2;6;ABSTRACT
lynx;lynx;C1;3;CONCRETE
lyre;lyre;C2;2;CONCRETE
lyric;parole;B2;6;ABSTRACT
lyrics;paroles;B1;7;ABSTRACT
