nail;ongle-clou;A1;8;CONCRETE
name;nom;A1;10;CONCRETE
nanny;nounou;A2;6;CONCRETE
napkin;serviette;A2;7;CONCRETE
narcissism;narcissisme;B2;3;ABSTRACT
narcotic;narcotique;B2;4;CONCRETE
narration;narration;B1;5;ABSTRACT
narrative;narratif;B2;4;ABSTRACT
nasal;nasal;B1;5;CONCRETE
nasturtium;capucine;C1;2;CONCRETE
nation;nation;A2;8;CONCRETE
nationality;nationalité;A2;8;ABSTRACT
nature;nature;A1;10;CONCRETE
nausea;nausée;B1;5;ABSTRACT
navigability;navigabilité;C2;1;ABSTRACT
navigator;navigateur;B1;5;CONCRETE
navy;marine;A2;7;CONCRETE
necessity;nécessité;B1;6;ABSTRACT
neck;cou;A1;9;CONCRETE
necklace;collier;A1;7;CONCRETE
nectar;nectar;B2;4;CONCRETE
need;besoin;A1;10;ABSTRACT
needle;aiguille;A2;7;CONCRETE
negativity;négativité;C1;3;ABSTRACT
neglect;négligence;B2;5;ABSTRACT
negotiation;négociation;B1;6;ABSTRACT
neighbor;voisin;A1;9;CONCRETE
neighborhood;quartier;A2;8;CONCRETE
neologism;néologisme;C1;3;ABSTRACT
neon;néon;B2;4;CONCRETE
nephew;neveu;A2;7;CONCRETE
nephrite;néphrite;C2;1;CONCRETE
nepotism;népotisme;C1;3;ABSTRACT
nerve;nerf;B1;6;CONCRETE
nervousness;nervosité;B2;5;ABSTRACT
nest;nid;A2;7;CONCRETE
nestling;oisillon;C1;2;CONCRETE
net;filet;A2;7;CONCRETE
network;réseau;B1;8;CONCRETE
neutrality;neutralité;B2;5;ABSTRACT
neutron;neutron;C1;3;CONCRETE
newcomer;nouveau venu;B1;6;CONCRETE
news;nouvelles;A1;10;ABSTRACT
newspaper;journal;A1;9;CONCRETE
nexus;nexus;C2;1;ABSTRACT
nicety;subtilité;C2;1;ABSTRACT
nicotine;nicotine;B2;5;CONCRETE
niece;nièce;A2;7;CONCRETE
night;nuit;A1;10;CONCRETE
nightfall;tombée de la nuit;B2;4;CONCRETE
nightingale;rossignol;B2;4;CONCRETE
nightmare;cauchemar;A2;7;ABSTRACT
nimbus;nimbus;C2;1;CONCRETE
nirvana;nirvana;C1;3;ABSTRACT
nobelium;nobélium;C2;1;CONCRETE
nobility;noblesse;B2;5;ABSTRACT
nodule;nodule;C1;3;CONCRETE
noise;bruit;A1;9;CONCRETE
nomination;nomination;B2;5;ABSTRACT
nonchalance;nonchalance;C1;3;ABSTRACT
nondescript;banal;C2;1;ABSTRACT
nonsense;absurdité;B2;5;ABSTRACT
noodle;nouille;A2;7;CONCRETE
normalcy;normalité;C1;3;ABSTRACT
normality;normalité;C1;3;ABSTRACT
north;nord;A1;9;CONCRETE
nose;nez;A1;9;CONCRETE
notability;notabilité;C2;1;ABSTRACT
note;note;A1;10;CONCRETE
notebook;cahier;A1;8;CONCRETE
notice;avis;A2;8;ABSTRACT
notion;notion;B1;6;ABSTRACT
nougat;nougat;B1;6;CONCRETE
nouveau;nouveau;B2;5;ABSTRACT
novel;roman;A2;8;CONCRETE
novelty;nouveauté;B1;7;ABSTRACT
november;novembre;A1;9;CONCRETE
nucleus;noyau;B2;5;CONCRETE
nudity;nudité;C1;3;ABSTRACT
nugget;pépite;B2;4;CONCRETE
nullity;nullité;C2;1;ABSTRACT
number;nombre;A1;10;CONCRETE
numbness;engourdissement;C1;3;ABSTRACT
nurse;infirmière;A1;9;CONCRETE
nurture;éducation;B2;5;ABSTRACT
nut;noix;A2;7;CONCRETE
nutmeg;noix de muscade;B2;4;CONCRETE
nutrition;nutrition;B1;7;ABSTRACT
nymph;nymphe;C1;3;CONCRETE
nymphomania;nymphomanie;C2;1;ABSTRACT
