vacation;vacances;A1;8;CONCRETE
vacuum;aspirateur;B1;4;CONCRETE
validation;validation;B2;6;ABSTRACT
valley;vallée;A2;5;CONCRETE
value;valeur;A2;7;ABSTRACT
vampire;vampire;B1;3;CONCRETE
van;fourgon;A2;5;CONCRETE
vandal;vandale;B2;3;CONCRETE
vanity;vanité;B2;5;ABSTRACT
vapor;vapeur;B1;4;CONCRETE
variation;variation;B1;6;ABSTRACT
variety;variété;A2;7;ABSTRACT
vase;vase;A1;4;CONCRETE
vault;voûte;C1;3;CONCRETE
veal;veau;A2;5;CONCRETE
vector;vecteur;C1;3;CONCRETE
vegan;végétalien;B2;5;ABSTRACT
vegetable;légume;A1;7;CONCRETE
vegetarian;végétarien;A2;6;ABSTRACT
vehicle;véhicule;A1;7;CONCRETE
vein;veine;B1;4;CONCRETE
velocity;vélocité;C2;2;ABSTRACT
velvet;velours;B2;3;CONCRETE
vendor;vendeur;A2;6;CONCRETE
venison;venaison;C1;2;CONCRETE
venom;venin;C1;3;CONCRETE
veranda;véranda;B1;4;CONCRETE
verb;verbe;A1;8;ABSTRACT
verdict;verdict;B2;4;ABSTRACT
verge;verge;C1;3;CONCRETE
version;version;A2;7;ABSTRACT
vertigo;vertige;B2;3;CONCRETE
vessel;vaisseau;B2;4;CONCRETE
vest;gilet;A2;5;CONCRETE
vestibule;vestibule;C1;2;CONCRETE
veteran;vétéran;B1;5;CONCRETE
veterinarian;vétérinaire;B1;5;CONCRETE
veterinary;vétérinaire;B2;4;ABSTRACT
veto;véto;C1;3;ABSTRACT
vexation;vexation;C2;2;ABSTRACT
vibration;vibration;B1;5;CONCRETE
vibrator;vibrateur;C1;2;CONCRETE
vicar;vicaire;C1;2;CONCRETE
vice;vice;B2;5;ABSTRACT
viciousness;méchanceté;C2;2;ABSTRACT
victim;victime;A2;7;CONCRETE
victory;victoire;A2;7;ABSTRACT
video;vidéo;A1;9;CONCRETE
view;vue;A1;8;CONCRETE
vignette;vignette;B2;4;CONCRETE
viking;viking;B2;3;CONCRETE
villa;villa;A2;5;CONCRETE
village;village;A1;7;CONCRETE
vine;vigne;B1;4;CONCRETE
vineyard;vignoble;B2;4;CONCRETE
vintage;vintage;B2;5;ABSTRACT
viola;alto;B2;3;CONCRETE
violin;violon;A2;6;CONCRETE
viper;vipère;B2;3;CONCRETE
virgin;vierge;A2;6;ABSTRACT
virtue;vertu;B2;5;ABSTRACT
virus;virus;A2;8;CONCRETE
visa;visa;A2;7;CONCRETE
vision;vision;A2;7;ABSTRACT
visitor;visiteur;A1;8;CONCRETE
vista;vista;C2;2;CONCRETE
visual;visuel;B1;6;ABSTRACT
vitality;vitalité;B2;5;ABSTRACT
vitamin;vitamine;A2;7;CONCRETE
vivarium;vivarium;C2;1;CONCRETE
vixen;renarde;C1;2;CONCRETE
vocabulary;vocabulaire;A1;9;ABSTRACT
vodka;vodka;B1;5;CONCRETE
voice;voix;A1;9;ABSTRACT
volcano;volcan;A2;6;CONCRETE
volley;volley;B2;4;CONCRETE
volleyball;volley-ball;A2;6;CONCRETE
volt;volt;B2;4;CONCRETE
voltage;tension;B2;4;CONCRETE
volume;volume;A2;7;ABSTRACT
vomit;vomir;B2;3;CONCRETE
vote;vote;A2;8;ABSTRACT
voucher;bon;B1;5;CONCRETE
vow;voeu;B2;4;ABSTRACT
voyage;voyage;A1;8;CONCRETE
voyager;voyageur;A2;7;CONCRETE
vulgarity;vulgarité;C1;3;ABSTRACT
vulnerability;vulnérabilité;C1;4;ABSTRACT
vulture;vautour;B2;3;CONCRETE
vulva;vulve;C2;1;CONCRETE
