"y-axis";"axe des y";"B2";7;"CONCRETE"
"yabby";"yabby-écrevisse";"C1";2;"CONCRETE"
"yabbying";"pêche à l'écrevisse";"C2";1;"ABSTRACT"
"yacht";"yacht";"A2";6;"CONCRETE"
"yachting";"yachting";"B1";5;"ABSTRACT"
"yaffingale";"pic vert";"C2";1;"CONCRETE"
"yaffle";"rire bruyant";"C2";1;"ABSTRACT"
"yager";"chasseur";"C2";1;"CONCRETE"
"yahoo";"rustre";"B2";4;"CONCRETE"
"yak";"yak";"B1";4;"CONCRETE"
"yakka";"travail dur";"C2";1;"ABSTRACT"
"yakking";"bavardage";"B2";5;"ABSTRACT"
"yam";"igname";"A2";6;"CONCRETE"
"yammering";"geignement";"C1";3;"ABSTRACT"
"yapok";"opossum d'eau";"C2";1;"CONCRETE"
"yapping";"jappement";"B2";4;"ABSTRACT"
"yard";"yard";"A1";10;"CONCRETE"
"yardage";"yardage-mesure";"C1";2;"ABSTRACT"
"yardarm";"vergue";"C2";1;"CONCRETE"
"yardbird";"prisonnier";"C2";1;"CONCRETE"
"yarding";"mise en parc";"C2";1;"ABSTRACT"
"yardman";"homme de cour";"C2";1;"CONCRETE"
"yardstick";"critère";"B2";5;"ABSTRACT"
"yare";"agile";"C2";1;"ABSTRACT"
"yarn";"fil";"A2";7;"CONCRETE"
"yarn-spinning";"filage";"B2";4;"ABSTRACT"
"yarning";"racontage d'histoires";"C2";1;"ABSTRACT"
"yarran";"acacia";"C2";1;"CONCRETE"
"yarrow";"achillée";"C2";1;"CONCRETE"
"yashmak";"voile";"B2";4;"CONCRETE"
"yataghan";"yatagan";"C2";1;"CONCRETE"
"yattering";"bavardage";"C2";1;"ABSTRACT"
"yauping";"hurlement";"C2";1;"ABSTRACT"
"yaw";"lacet";"B2";3;"ABSTRACT"
"yawing";"embardée";"C2";1;"ABSTRACT"
"yawling";"hurlement";"C2";1;"ABSTRACT"
"yawn";"bâillement";"A1";10;"ABSTRACT"
"yawning";"bâillement";"A1";10;"ABSTRACT"
"yawp";"cri";"C2";1;"ABSTRACT"
"yaws";"pian";"C2";1;"CONCRETE"
"yeaning";"agnelage";"C2";1;"ABSTRACT"
"yeanling";"agneau";"C2";1;"CONCRETE"
"year";"année";"A1";10;"CONCRETE"
"year-round";"toute l'année";"B1";6;"ABSTRACT"
"yearbook";"annuaire";"B1";6;"CONCRETE"
"yearling";"yearling-jeune animal";"B2";3;"CONCRETE"
"yearning";"désir";"B1";6;"ABSTRACT"
"yeast";"levure";"A2";7;"CONCRETE"
"yeastiness";"levurage";"C2";1;"ABSTRACT"
"yegg";"cambrioleur";"C2";1;"CONCRETE"
"yell";"cri";"A2";8;"ABSTRACT"
"yelling";"hurlement";"B1";6;"ABSTRACT"
"yellow";"jaune";"A1";10;"CONCRETE"
"yellow-belly";"lâche";"C2";1;"CONCRETE"
"yellowhammer";"bruant jaune";"C2";1;"CONCRETE"
"yellowlegs";"chevalier";"C2";1;"CONCRETE"
"yellowtail";"sériole";"C2";1;"CONCRETE"
"yelper";"hurleur";"C2";1;"CONCRETE"
"yelping";"jappement";"B2";4;"ABSTRACT"
"yen";"yen";"A2";8;"CONCRETE"
"yenned";"désiré";"C2";1;"ABSTRACT"
"yeoman";"yeoman-paysan libre";"C2";1;"CONCRETE"
"yeomanry";"yeomanry-corps de volontaires";"C2";1;"CONCRETE"
"yeshiva";"yeshiva";"C1";2;"CONCRETE"
"yesteryear";"antan";"C1";3;"ABSTRACT"
"yet";"encore";"A1";10;"ABSTRACT"
"yeti";"yeti";"B2";4;"CONCRETE"
"yeuking";"démangeaison";"C2";1;"ABSTRACT"
"yew";"if";"B2";4;"CONCRETE"
"yew-tree";"if-arbre";"B2";4;"CONCRETE"
"yid";"yid";"C2";1;"CONCRETE"
"yield";"rendement";"B1";6;"ABSTRACT"
"yielding";"rendement";"B1";6;"ABSTRACT"
"yipping";"jappement";"C2";1;"ABSTRACT"
"yips";"tremblements";"C2";1;"ABSTRACT"
"yirring";"hurlement";"C2";1;"ABSTRACT"
"yob";"voyou";"B2";4;"CONCRETE"
"yodel";"yodel";"B2";4;"ABSTRACT"
"yodeller";"yodleur";"C2";1;"CONCRETE"
"yodelling";"yodel";"B2";4;"ABSTRACT"
"yoga";"yoga";"A2";8;"ABSTRACT"
"yogi";"yogi";"B2";4;"CONCRETE"
"yogini";"yogini";"C2";1;"CONCRETE"
"yogurt";"yaourt";"A1";10;"CONCRETE"
"yohimbine";"yohimbine";"C2";1;"CONCRETE"
"yoke";"joug";"B2";4;"CONCRETE"
"yokel";"paysan";"B2";4;"CONCRETE"
"yoking";"attelage";"C2";1;"ABSTRACT"
"yolk";"jaune d'oeuf";"A2";7;"CONCRETE"
"yolk-sac";"sac vitellin";"C2";1;"CONCRETE"
"yomping";"marche rapide";"C2";1;"ABSTRACT"
"yon";"là-bas";"C2";1;"ABSTRACT"
"yoncopin";"yoncopin";"C2";1;"CONCRETE"
"yonder";"là-bas";"C2";1;"ABSTRACT"
"yore";"antan";"C2";1;"ABSTRACT"
"young";"jeune";"A1";10;"ABSTRACT"
"youngster";"jeune";"A2";8;"CONCRETE"
"younker";"jeune homme";"C2";1;"CONCRETE"
"yourself";"toi-même";"A1";10;"ABSTRACT"
"youth";"jeunesse";"A1";10;"ABSTRACT"
"youthfulness";"jeunesse";"B2";5;"ABSTRACT"
"yow";"hurlement";"C2";1;"ABSTRACT"
"yowie";"yowie";"C2";1;"CONCRETE"
"yowling";"hurlement";"C2";1;"ABSTRACT"
"yuan";"yuan";"A2";8;"CONCRETE"
"yucca";"yucca";"B2";4;"CONCRETE"
"yucca-moth";"papillon de yucca";"C2";1;"CONCRETE"
"yuck";"beurk";"B2";4;"ABSTRACT"
"yuk";"beurk";"B2";4;"ABSTRACT"
"yukking";"rire";"C2";1;"ABSTRACT"
"yule";"Noël";"B1";6;"ABSTRACT"
"yule-log";"bûche de Noël";"B2";4;"CONCRETE"
"yummy";"délicieux";"A2";7;"ABSTRACT"
"yuppie";"yuppie";"B2";4;"CONCRETE"
"yurt";"yourte";"B2";4;"CONCRETE"
"yuzu";"yuzu";"C1";2;"CONCRETE"
"ywis";"certainement";"C2";1;"ABSTRACT"
