"kayak";"kayak-naviguer";"A2";3;"ACTION";"REGULAR"
"kedge";"kedge-ancrer";"C2";1;"ACTION";"IRREGULAR"
"keel";"quille-chavirer";"B2";2;"ACTION";"REGULAR"
"keep";"garder-conserver";"A1";10;"ACTION";"IRREGULAR"
"ken";"ken-connaître";"C2";1;"STATE";"REGULAR"
"kennel";"chenil-loger";"B1";2;"ACTION";"REGULAR"
"key";"clé-verrouiller";"A1";8;"ACTION";"REGULAR"
"kibitz";"kibitz-commenter";"C1";1;"ACTION";"IRREGULAR"
"kibosh";"kibosh-arrêter";"C2";1;"ACTION";"REGULAR"
"kick";"coup de pied-frapper";"A1";7;"ACTION";"REGULAR"
"kid";"enfant-taquiner";"A1";9;"ACTION";"REGULAR"
"kidnap";"kidnapper-enlever";"B1";3;"ACTION";"REGULAR"
"kill";"tuer-éliminer";"A2";6;"ACTION";"REGULAR"
"kindle";"allumer-inciter";"B2";4;"ACTION";"REGULAR"
"kink";"torsion-tordre";"B2";2;"ACTION";"REGULAR"
"kip";"kip-dormir";"C1";1;"ACTION";"IRREGULAR"
"kiss";"baiser-embrasser";"A1";8;"ACTION";"REGULAR"
"kite";"cerf-volant-voler";"B1";3;"ACTION";"REGULAR"
"klap";"klap-frapper";"C2";1;"ACTION";"IRREGULAR"
"kludge";"kludge-bricoler";"C2";1;"ACTION";"REGULAR"
"knack";"don-aptitude";"B1";4;"STATE";"REGULAR"
"knap";"knap-casser";"C2";1;"ACTION";"IRREGULAR"
"knar";"knar-grogner";"C2";1;"ACTION";"IRREGULAR"
"knead";"pétrir-malaxer";"B1";3;"ACTION";"REGULAR"
"kneel";"agenouiller-s'agenouiller";"A2";5;"ACTION";"REGULAR"
"knit";"tricoter-assembler";"A2";6;"ACTION";"REGULAR"
"knobble";"knobble-masser";"C2";1;"ACTION";"IRREGULAR"
"knock";"frapper-heurter";"A1";10;"ACTION";"REGULAR"
"knockabout";"knockabout-bousculer";"C1";2;"ACTION";"IRREGULAR"
"knockback";"knockback-refuser";"C2";1;"ACTION";"REGULAR"
"knockdown";"knockdown-renverser";"B2";3;"ACTION";"REGULAR"
"knockoff";"knockoff-imiter";"B2";4;"ACTION";"REGULAR"
"knockout";"knockout-éliminer";"B1";5;"ACTION";"REGULAR"
"knockup";"knockup-concevoir";"C2";1;"ACTION";"REGULAR"
"knoll";"knoll-monter";"C2";1;"ACTION";"IRREGULAR"
"knot";"nœud-lier";"A2";7;"ACTION";"REGULAR"
"knotting";"nouage-nouer";"B1";4;"ACTION";"REGULAR"
"know";"savoir-connaître";"A1";10;"STATE";"IRREGULAR"
"kodak";"kodak-photographier";"B2";3;"ACTION";"REGULAR"
"kowtow";"kowtow-se prosterner";"C1";2;"ACTION";"IRREGULAR"
"krump";"krump-danser";"C2";1;"ACTION";"REGULAR"
"kurb";"kurb-retenir";"C2";1;"ACTION";"IRREGULAR"
"kurbash";"kurbash-frapper";"C2";1;"ACTION";"IRREGULAR"
"kurbstomp";"kurbstomp-écraser";"C2";1;"ACTION";"IRREGULAR"
"kurbstone";"kurbstone-bordurer";"C2";1;"ACTION";"REGULAR"
