"save";"sauver - épargner";"A2";5;"ACTION";"REGULAR"
"say";"dire";"A1";10;"ACTION";"IRREGULAR"
"see";"voir";"A1";10;"STATE";"IRREGULAR"
"sell";"vendre";"A2";7;"ACTION";"REGULAR"
"send";"envoyer";"A2";7;"ACTION";"IRREGULAR"
"serve";"servir";"A2";6;"ACTION";"IRREGULAR"
"shake";"secouer - agiter";"B1";4;"ACTION";"REGULAR"
"share";"partager";"A2";6;"ACTION";"REGULAR"
"shatter";"briser - fracasser";"C1";2;"ACTION";"REGULAR"
"shine";"briller";"B1";4;"STATE";"IRREGULAR"
"shiver";"frissonner";"B2";3;"STATE";"REGULAR"
"shock";"choquer";"B2";4;"ACTION";"REGULAR"
"shoot";"tirer";"B1";4;"ACTION";"IRREGULAR"
"shout";"crier";"A2";6;"ACTION";"REGULAR"
"shovel";"pelleter";"C1";2;"ACTION";"REGULAR"
"show";"montrer";"A1";8;"ACTION";"IRREGULAR"
"shuffle";"mélanger - battre";"C1";2;"ACTION";"REGULAR"
"shun";"éviter - fuir";"C2";1;"ACTION";"REGULAR"
"shut";"fermer";"A1";8;"ACTION";"IRREGULAR"
"sing";"chanter";"A1";7;"ACTION";"IRREGULAR"
"sit";"s'asseoir";"A1";9;"STATE";"IRREGULAR"
"sleep";"dormir";"A1";9;"STATE";"IRREGULAR"
"smell";"sentir";"A2";6;"STATE";"IRREGULAR"
"smile";"sourire";"A1";7;"ACTION";"IRREGULAR"
"speak";"parler";"A1";10;"ACTION";"IRREGULAR"
"spend";"dépenser - passer";"A2";7;"ACTION";"IRREGULAR"
"stand";"se tenir debout";"A1";8;"STATE";"IRREGULAR"
"start";"commencer";"A1";9;"ACTION";"REGULAR"
"stay";"rester";"A1";8;"STATE";"REGULAR"
"steal";"voler";"B1";4;"ACTION";"IRREGULAR"
"steer";"diriger - conduire";"B2";3;"ACTION";"REGULAR"
"step";"marcher - pas";"A2";6;"ACTION";"REGULAR"
"stick";"coller - bâton";"B1";4;"ACTION";"IRREGULAR"
"stifle";"étouffer";"C1";2;"ACTION";"REGULAR"
"stimulate";"stimuler";"C1";2;"ACTION";"REGULAR"
"stir";"remuer";"B2";3;"ACTION";"REGULAR"
"stitch";"coudre";"C1";2;"ACTION";"REGULAR"
"stop";"arrêter";"A1";9;"ACTION";"REGULAR"
"stow";"ranger - stocker";"C2";1;"ACTION";"REGULAR"
"strain";"tendre - effort";"C1";2;"ACTION";"REGULAR"
"stress";"stresser";"B2";5;"STATE";"REGULAR"
"stretch";"étirer";"B1";4;"ACTION";"REGULAR"
"strike";"frapper - grève";"B2";5;"ACTION";"IRREGULAR"
"strip";"déshabiller - bande";"C1";2;"ACTION";"REGULAR"
"strive";"s'efforcer";"C2";1;"ACTION";"IRREGULAR"
"stroll";"promener";"B2";3;"ACTION";"REGULAR"
"struggle";"lutter";"B2";5;"ACTION";"REGULAR"
"study";"étudier";"A1";9;"ACTION";"REGULAR"
"stuff";"remplir - truc";"B1";4;"ACTION";"REGULAR"
"stumble";"trébucher";"B2";3;"ACTION";"IRREGULAR"
