unclasp;desserrer-détacher;B2;3;ACTION;REGULAR
uncoil;dérouler-détendre;B2;2;ACTION;REGULAR
uncover;découvrir-révéler;A2;6;ACTION;REGULAR
underline;souligner-mettre en évidence;A2;7;ACTION;REGULAR
undermine;saper-miner;C1;4;ACTION;REGULAR
underpin;soutenir-étayer;C1;3;ACTION;REGULAR
understand;comprendre-saisir;A1;10;STATE;IRREGULAR
undo;défaire-annuler;B1;5;ACTION;IRREGULAR
unfasten;détacher-libérer;B2;3;ACTION;REGULAR
unfreeze;dégeler-libérer;B2;2;ACTION;REGULAR
unhinge;dégonder-déstabiliser;C2;1;ACTION;REGULAR
unhook;décrocher-détacher;B2;3;ACTION;REGULAR
unite;unir-rassembler;B1;6;ACTION;REGULAR
unjam;débloquer-libérer;B2;3;ACTION;REGULAR
unlace;délacer-libérer;B2;2;ACTION;REGULAR
unlash;détacher-libérer;C1;1;ACTION;REGULAR
unleash;déchaîner-libérer;C1;4;ACTION;REGULAR
unmask;démasquer-révéler;B2;4;ACTION;REGULAR
unpick;découdre-démêler;C2;1;ACTION;REGULAR
unpin;détacher-libérer;C1;2;ACTION;REGULAR
unplug;débrancher-libérer;B1;5;ACTION;REGULAR
unravel;démêler-élucider;B2;4;ACTION;REGULAR
unroll;dérouler-étaler;B1;5;ACTION;REGULAR
unruffle;apaiser-calmer;C2;1;ACTION;REGULAR
unsaddle;désarçonner-libérer;C2;1;ACTION;REGULAR
unseal;déboucher-ouvrir;C1;2;ACTION;REGULAR
unstitch;découdre-libérer;C2;1;ACTION;REGULAR
untangle;démêler-élucider;B2;4;ACTION;REGULAR
unthread;défiler-ôter;C2;1;ACTION;REGULAR
untie;dénouer-libérer;B1;5;ACTION;REGULAR
unveil;dévoiler-révéler;B2;5;ACTION;REGULAR
unweave;défaire-démêler;C2;1;ACTION;REGULAR
unwind;détendre-dérouler;B1;6;ACTION;IRREGULAR
unyoke;détacher-libérer;C2;1;ACTION;REGULAR
unzip;dézipper-ouvrir;B1;5;ACTION;REGULAR
update;mettre à jour-actualiser;A2;8;ACTION;REGULAR
upend;renverser-bouleverser;C1;3;ACTION;REGULAR
uphold;soutenir-maintenir;C1;4;STATE;REGULAR
uplift;soulever-élever;B2;4;ACTION;REGULAR
upload;télécharger-envoyer;A2;7;ACTION;REGULAR
upraise;soulever-élever;C1;3;ACTION;REGULAR
uproot;déraciner-éliminer;B2;4;ACTION;REGULAR
upset;bouleverser-contrarier;A2;8;STATE;IRREGULAR
upstage;éclipser-dominer;C2;2;ACTION;REGULAR
urge;inciter-encourager;B1;6;ACTION;REGULAR
use;utiliser-employer;A1;10;ACTION;REGULAR
usurp;usurper-s'approprier;C2;2;ACTION;REGULAR
utilize;utiliser-exploiter;B2;6;ACTION;REGULAR
utter;prononcer-exprimer;B2;5;ACTION;REGULAR
