zap;frapper;A2;3;ACTION;REGULAR
zephyr;vent doux;B2;2;STATE;REGULAR
zero;zero;A1;10;STATE;REGULAR
zest;enthousiasme;B1;4;STATE;REGULAR
zigzag;zigzag;A2;5;ACTION;REGULAR
zinc;zinc;B2;2;STATE;REGULAR
zincate;zincate;C2;1;ACTION;REGULAR
zincify;zincifier;C2;1;ACTION;REGULAR
zip;fermeture éclair;A1;7;STATE;REGULAR
zizz;buzz;C1;1;ACTION;REGULAR
zizzle;grésiller;C2;1;ACTION;REGULAR
zombify;zombifier;C2;1;ACTION;REGULAR
zonda;vent fort;C2;1;STATE;REGULAR
zone;zone;A1;8;STATE;REGULAR
zoo;zoo;A1;9;STATE;REGULAR
zoogle;chercher;C2;1;ACTION;REGULAR
zooglea;bactérie;C2;1;STATE;REGULAR
zoom;zoom;A2;6;ACTION;REGULAR
zoon;animal;C2;1;STATE;REGULAR
zoosperm;spermatozoïde;C2;1;STATE;REGULAR
zootomist;zootomiste;C2;1;STATE;REGULAR
zootomize;zootomiser;C2;1;ACTION;REGULAR
zootomy;zootomie;C2;1;STATE;REGULAR
zouk;zouk;B2;3;STATE;REGULAR
zowie;wahou;C2;1;ACTION;REGULAR
zucchetto;zucchetto;C2;1;STATE;REGULAR
zucchini;courgette;A2;7;STATE;REGULAR
zudda;zudda;C2;1;STATE;REGULAR
zuffolo;sifflet;C2;1;STATE;REGULAR
zugzwang;zugzwang;C2;1;STATE;REGULAR
zuke;zuke;C2;1;STATE;REGULAR
zule;zule;C2;1;STATE;REGULAR
zulu;zulu;B2;3;STATE;REGULAR
zupan;zupan;C2;1;STATE;REGULAR
zuppa;soupe;B2;4;STATE;REGULAR
zurich;zurich;B1;5;STATE;REGULAR
zus;zus;C2;1;STATE;REGULAR
zut;zut;B1;6;ACTION;REGULAR
zydeco;zydeco;C2;1;STATE;REGULAR
zygoma;zygoma;C2;1;STATE;REGULAR
zygosis;zygose;C2;1;STATE;REGULAR
zygote;zygote;B2;3;STATE;REGULAR
